Financial Year,Material Type,Material Name,Source Sector,Disposal,International Export,Interstate Export,Recoverd locally (including Waste to Energy),Total Generation
2016-2017,"Aggregate, masonry and soils",Plaster,CND,14570.567571,0.0,0.0,33750.0,48320.567571
2016-2017,"Aggregate, masonry and soils",Plaster,CNI,20952.87405,0.0,0.0,774.0,21726.87405
2016-2017,"Aggregate, masonry and soils",Plaster,MSW,4533.247653,0.0,0.0,0.0,4533.247653
2016-2017,"Aggregate, masonry and soils",Rubble,CND,9275.328309,0.0,0.0,339212.0,348487.328309
2016-2017,"Aggregate, masonry and soils",Rubble,CNI,13254.106479,0.0,0.0,7339.0,20593.106479
2016-2017,"Aggregate, masonry and soils",Rubble,MSW,3062.166842,0.0,0.0,0.0,3062.166842
2016-2017,"Aggregate, masonry and soils",Soil and natural materials,CND,691061.899484,0.0,0.0,76889.0,767950.899484
2016-2017,"Aggregate, masonry and soils",Soil and natural materials,CNI,100809.728757,0.0,0.0,14588.0,115397.728757
2016-2017,"Aggregate, masonry and soils",Soil and natural materials,MSW,15956.837197,0.0,0.0,800.0,16756.837197
2016-2017,Glass,Container glass,CND,640.985267,3.849082,0.0,0.0,644.834349
2016-2017,Glass,Container glass,CNI,26450.825177,101.476511,0.0,7659.0,34211.301688
2016-2017,Glass,Container glass,MSW,40121.144479,2711.674407,0.0,134895.0,177727.818886
2016-2017,Glass,Other glass,CND,3127.258661,0.0,0.0,0.0,3127.258661
2016-2017,Glass,Other glass,CNI,12981.996408,0.0,0.0,0.0,12981.996408
2016-2017,Glass,Other glass,MSW,39729.349116,0.0,0.0,0.0,39729.349116
2016-2017,Metals,Aluminium,CND,3694.250247,0.0,0.0,0.0,3694.250247
2016-2017,Metals,Aluminium,CNI,16419.757712,0.0,0.0,28825.0,45244.757712
2016-2017,Metals,Aluminium,MSW,21658.887784,0.0,0.0,1445.0,23103.887784
2016-2017,Metals,Ferrous,CND,15819.280348,34895.011342,0.0,92500.0,143214.29169
2016-2017,Metals,Ferrous,CNI,53367.848207,168845.856964,0.0,235387.54,457601.245171
2016-2017,Metals,Ferrous,MSW,36382.558752,108238.131694,0.0,285189.98,429810.670446
2016-2017,Metals,Other metals,CND,0.0,514.063946,0.0,7312.0,7826.063946
2016-2017,Metals,Other metals,CNI,0.0,6864.868375,0.0,615686.0,622550.868375
2016-2017,Metals,Other metals,MSW,0.0,1060.067678,0.0,8566.0,9626.067678
2016-2017,Organics,Food organics,CND,2853.216382,0.0,0.0,0.0,2853.216382
2016-2017,Organics,Food organics,CNI,233047.153901,0.0,0.0,25381.0,258428.153901
2016-2017,Organics,Food organics,MSW,658192.658798,0.0,0.0,7555.04,665747.698798
2016-2017,Organics,Garden organics,CND,20567.49338,0.0,0.0,0.0,20567.49338
2016-2017,Organics,Garden organics,CNI,58739.578667,0.0,0.0,168789.0,227528.578667
2016-2017,Organics,Garden organics,MSW,104295.283141,0.0,0.0,360402.96,464698.243141
2016-2017,Organics,Other organics,CND,499.512376,0.0,0.0,11159.0,11658.512376
2016-2017,Organics,Other organics,CNI,28995.76836,0.0,0.0,62212.0,91207.76836
